[2019-10-02T16:23:12,289] <main> WARN  system - reload system.properties failed: file not found
[2019-10-02T16:23:12,325] <main> WARN  system - reload system.properties.bk failed: file not found
[2019-10-02T16:23:24,804] <launcher-ui> INFO  launcher - Initializing UniFi Controller ...
[2019-10-02T16:23:24,970] <launcher-ui> ERROR launcher - Couldn't find com.apple.eawt.QuitHandler in jre.
[2019-10-02T16:23:26,295] <launcher-monitor> INFO  launcher - Starting UniFi Controller ...
[2019-10-02T16:25:16,393] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:25:26,397] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:25:36,402] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:25:46,404] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:25:56,404] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:26:06,410] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:26:16,412] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:26:26,415] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:26:36,433] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:26:46,424] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
